Id_Chanson,Id_Chanson_Parent,Titre_Chanson,Annee_Creation_Chanson,Categories_Chanson,Langues_Chanson,Lieux_Origines_Chanson,Autre_Titre_Chanson,Note_Chanson,Relation_Chanson_Autorite,Id_Autorite,Forme_Retenue_Autorite,Forme_Nom_Veritable,Formes_Anciennes,Formes_Non_Retenues,Formes_Autres_Retenues,Type_Autorite,Date_Naissance_Autorite,Date_Deces_Autorite,Lieux_Naissances_Autorite,Lieux_Activites_Autorite,Note_Autorite,Id_Autorites_Membres_Groupes,Id_Autorites_Evolutions,Id_Autorites_Partenariats
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",3592,"Creatore, Luigi, 1921-","","","Lawrence, Fred, 1921-; Limber, Jack, 1921-; Markwell, Mark, 1921-","","Physique","1921-12-21","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur et producteur de disques. Les compositions de Creatore, Luigi, 1921- et Peretti, Hugo, 1916-1986 sont parfois publiées sous le pseudonyme de Markwell, Mark.","18348","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Interprète",7135,"Hickman, Sara, 1963-","","","","","Physique","1963-03-01","????-??-??","États-Unis; Caroline du Nord","États-Unis; Caroline du Nord","Auteure-compositrice-interprète et guitariste de rock, folk, pop et chansons pour enfants.","","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Interprète",9873,"March, Peggy, 1948-","Battavio, Margaret Annemarie, 1948-","","March, Little Peggy, 1948-","","Physique","1948-03-08","????-??-??","États-Unis; Pennsylvanie","États-Unis; Pennsylvanie","Chanteuse de pop.","","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",11998,"Peretti, Hugo, 1916-1986","Peretti, Hugo E., 1916-1986","","","","Physique","1916-12-06","1986-05-01","États-Unis; New York","États-Unis; New York","Auteur-compositeur et producteur de disques. Les compositions de Creatore, Luigi, 1921- et Peretti, Hugo, 1916-1986 sont parfois publiées sous le pseudonyme de Markwell, Mark.","18348","",""
1,,"I wish I were a princess",1963,"","anglais","","","","Auteur; Compositeur",16012,"Weiss, George David, 1921-2010","Weiss, George David, 1921-2010","","Weiss, George, 1921-2010","","Physique","1921-04-09","2010-08-23","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Interprète",11483,"Ofarim, Esther, 1941-","","","","","Physique","1941-06-13","????-??-??","Israël","Israël","Chanteuse.","","","21012"
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Auteur; Compositeur",11913,"Paxton, Tom, 1937-","Paxton, Thomas Richard, 1937-","","","","Physique","1937-10-31","????-??-??","États-Unis; Illinois","États-Unis; Oklahoma","Auteur-compositeur-interprète et guitariste de folk. Né en Illinois; grandi en Oklahoma à partir de l'âge de 11 ans.","","",""
2,,"Oh babe you're gonna wonder",1963,"","anglais","","Oh baby you're gonna wonder","","Interprète",21012,"Ofarim, Esther et Ofarim, Abi (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","11482; 11483"
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",3359,"Conte, Paolo, 1937-","","","","","Physique","1937-01-06","????-??-??","Italie","Italie","Chanteur et musicien de jazz et de pop.","","",""
3,,"Deborah",1968,"","italien","","","","Interprète",8870,"Leali, Fausto, 1944-","","","","","Physique","1944-10-29","????-??-??","Italie","Italie","Auteur-compositeur-interprète de pop, soul et blues.","","",""
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",11705,"Pallavicini, Vito, 1924-2007","","","Calimero, 1924-2007","","Physique","1924-04-22","2007-08-16","Italie","Italie","Parolier.","","",""
3,,"Deborah",1968,"","italien","","","","Interprète",12153,"Pickett, Wilson, 1941-2006","","","The Wicked Wilson Pickett, 1941-2006","","Physique","1941-03-18","2006-01-19","États-Unis; Alabama","États-Unis; Alabama","Auteur-compositeur-interprète de rhythm and blues, rock and roll, soul et southern soul.","","",""
3,,"Deborah",1968,"","italien","","","","Auteur; Compositeur",14075,"Sigman, Carl, 1909-2000","","","","","Physique","1909-09-24","2000-09-26","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
4,,"Mom and dad's waltz",1951,"","anglais","","","","Auteur; Compositeur; Interprète",5700,"Frizzell, Lefty, 1928-1975","Frizzell, William Orville, 1928-1975","","","","Physique","1928-03-31","1975-07-19","États-Unis; Texas","États-Unis; Arkansas","Auteur-compositeur-interprète et musicien de country. Né au Texas; grandi en Arkansas.","","",""
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",9194,"Lewis, Jerry Lee, 1935-","Lewis, Jerry Lee, 1935-","","Jerry Lee Lewis and his Pumping Piano, 1935-; Killer, 1935-","","Physique","1935-09-29","????-??-??","États-Unis; Louisiane","États-Unis; Louisiane","Auteur-compositeur-interprète et pianiste de rock and roll, country, rockabilly, blues, honky tonk et gospel.","18915","","21196; 21361; 21770; 21938"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",11246,"Nelson, Willie, 1933-","Nelson, Willie Hugh, 1933-","","Red Headed Stranger, 1933-","","Physique","1933-04-30","????-??-??","États-Unis; Texas","États-Unis; Texas","Acteur et auteur-compositeur-interprète de country, country rock, outlaw country et country alternatif.","18296; 20194","","20807; 21007; 21026; 21172; 21346; 21493; 21621; 21715; 21720; 21906; 21928; 21990; 22072; 22339; 22373; 22387; 22396"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",11580,"Osborne, Bobby, 1931-","","","","","Physique","1931-12-07","????-??-??","États-Unis; Kentucky","États-Unis; Kentucky","Musicien bluegrass.","19162","","20444"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",11676,"Page, Patti, 1927-","Fowler, Clara Ann, 1927-","","","","Physique","1927-11-08","????-??-??","États-Unis; Oklahoma","États-Unis; Oklahoma","Chanteuse de country et de pop.","","","22324"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",16530,"Young, Faron, 1932-1996","Young, Faron, 1932-1996","","Hillbilly Heartthrob, 1932-1996; Singing Sheriff, 1932-1996","","Physique","1932-02-25","1996-12-10","États-Unis; Louisiane","États-Unis; Louisiane","Auteur-compositeur-interprète de country.","","","21493"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",20641,"Merle Haggard and The Strangers (Groupe musical)","","","","","Morale","1960-??-??","????-??-??","États-Unis","États-Unis","Groupe country. Semble être actif à partir des années 1960.","","","6670; 19900"
4,,"Mom and dad's waltz",1951,"","anglais","","","","Interprète",22150,"Jones, Tom et Holland, Jools (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","7261; 7907"
5,,"With open arms",1959,"","anglais","","","","Auteur; Compositeur",687,"Bacharach, Burt, 1928-","","","","","Physique","1928-05-12","????-??-??","États-Unis; Missouri","États-Unis","Pianiste, compositeur et producteur américain.","","","21015"
5,,"With open arms",1959,"","anglais","","","","Auteur; Compositeur",3889,"David, Hal, 1921-2012","David, Harold Lane, 1921-2012","","","","Physique","1921-05-25","2012-09-01","États-Unis; New York","États-Unis; New York","Parolier.","","",""
5,,"With open arms",1959,"","anglais","","","","Interprète",10940,"Morgan, Jane, 1920-","Currier, Florence Catherine, 1920-","","","","Physique","1920-12-25","????-??-??","États-Unis; Massachusetts","États-Unis; Massachusetts","Chanteuse de pop.","","","22259"
6,,"The Kangaroo",1964,"","anglais","","","","Auteur; Compositeur",2549,"Carl, William","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur.","","",""
6,,"The Kangaroo",1964,"","anglais","","","","Auteur; Compositeur",11536,"Olson, B.","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur.","","",""
6,,"The Kangaroo",1964,"","anglais","","","","Auteur; Compositeur",11868,"Patitucci, A.","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur.","","",""
6,,"The Kangaroo",1964,"","anglais","","","","Interprète",19183,"Panics (Groupe musical : États-Unis)","","","","","Morale","1964-??-??","1964-??-??","États-Unis","États-Unis","Groupe de rock. Semble actif en 1964.","","",""
7,,"I left my heart in the balcony",1962,"","anglais","","I left my heart on the balcony","","Auteur; Compositeur",947,"Barry, Jeff, 1938-","Adelberg, Joel, 1938-","","","","Physique","1938-04-03","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur-interprète et producteur de disques de pop.","","",""
7,,"I left my heart in the balcony",1962,"","anglais","","I left my heart on the balcony","","Auteur; Compositeur",12791,"Resnick, Arthur","","","Resnick, Artie","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur et producteur.","","",""
7,,"I left my heart in the balcony",1962,"","anglais","","I left my heart on the balcony","","Interprète",13781,"Scott, Linda, 1945-","Sampson, Linda Joy, 1945-","","","","Physique","1945-06-01","????-??-??","États-Unis; New York","États-Unis; New York","Chanteuse de pop.","","",""
8,,"Till the end of eternity",1964,"","anglais","","","La chanson originale anglaise fut enregistrée en 1969, soit cinq ans après l'adaptation française.","Auteur; Compositeur",8105,"Kaye, Ben, 1938-2007","Kushnir, Benjamin, 1938-2007","","","","Physique","1938-12-12","2007-02-03","Canada; Québec","Canada; Québec","Impresario, éditeur de musique, auteur-compositeur et producteur. Les chansons écrite en duo avec Hal Stanley sont des originaux anglais qui, plus souvent qu'autrement ne furent pas enregistrées dans en langue anglaise. Les adaptations sont le plus souvent réalisées par Pierre Nolès, Lucien Brien ou Pière Sénécal.","","",""
8,,"Till the end of eternity",1964,"","anglais","","","La chanson originale anglaise fut enregistrée en 1969, soit cinq ans après l'adaptation française.","Interprète",13483,"Sage, Ginette, 1941-","Lessard, Ginette, 1941-","","","","Physique","1941-04-28","????-??-??","Canada; Québec","Canada; Québec","Chanteuse.","","","20779; 21480; 22360"
8,,"Till the end of eternity",1964,"","anglais","","","La chanson originale anglaise fut enregistrée en 1969, soit cinq ans après l'adaptation française.","Auteur; Compositeur",14464,"Stanley, Hal","","","","","Physique","????-??-??","????-??-??","Canada; Québec","Canada; Québec","Auteur-compositeur. Les chansons écrite en duo avec Ben Kaye sont des originaux anglais qui, plus souvent qu'autrement ne furent pas enregistrées dans en langue anglaise. Les adaptations sont le plus souvent réalisées par Pierre Nolès, Lucien Brien ou Pière Sénécal.","","",""
9,,"Bon soir dame",1960,"","anglais","","","","Interprète",302,"Ames, Ed, 1927-","Urick, Edmund Dantes, 1927-","","","","Physique","1927-07-09","????-??-??","États-Unis; Massachusetts","États-Unis; Massachusetts","Chanteur de pop et acteur.","","",""
9,,"Bon soir dame",1960,"","anglais","","","","Auteur; Compositeur",3859,"Dashiell, Bud, 1929-1989","","","Bud, 1929-1989","","Physique","1929-09-28","1989-06-02","France","États-Unis","Auteur-compositeur-interprète. Né en France; grandi aux États-Unis.","17183","","21463"
9,,"Bon soir dame",1960,"","anglais","","","","Interprète",21463,"Edmonson, Travis et Dashiell, Bud (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","3859; 4843"
10,,"Cindy, Oh Cindy",1956,"","anglais","","","","Auteur; Compositeur",935,"Barron, Bob","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur.","","",""
10,,"Cindy, Oh Cindy",1956,"","anglais","","","","Auteur; Compositeur",9405,"Long, Burt","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteur-compositeur.","","",""
10,,"Cindy, Oh Cindy",1956,"","anglais","","","","Interprète",21916,"Martin, Vince et Tarriers  (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","10080; 19989"
11,,"Listen to the ocean",1960,"","anglais","","","","Auteur; Compositeur",11703,"Pallandt, Frederik van, 1934-1994","","","Pallandt, Frederik Jan Gustav Floris van, 1934-1994","","Physique","1934-05-04","1994-05-15","Danemark","Danemark","Chanteur et baron.","19073","",""
11,,"Listen to the ocean",1960,"","anglais","","","","Auteur; Compositeur",11704,"Pallandt, Nina van, 1932-","Moller, Nina Magdelena, 1932-","","","","Physique","1932-07-15","????-??-??","Danemark","Danemark","Actrice et chanteuse de folk.","19073","",""
11,,"Listen to the ocean",1960,"","anglais","","","","Interprète",19073,"Nina og Frédérik (Duo musical)","","","Nina and Frederik; Nina et Frédérik","","Morale","1957-07-01","1969-??-??","Danemark","Danemark","Duo de pop.","11703; 11704","",""
12,,"December, 1963 (Oh, what a night)",1975,"","anglais","","December, Nineteen-sixty-three (Oh, what a night)","","Auteur; Compositeur",5929,"Gaudio, Bob, 1942-","Gaudio, Robert John, 1942-","","Gaudio, Robert, 1942-","","Physique","1942-11-17","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur-interprète et producteur de disques.","","",""
12,,"December, 1963 (Oh, what a night)",1975,"","anglais","","December, Nineteen-sixty-three (Oh, what a night)","","Interprète",7721,"Jean, Wyclef, 1969-","Jean, Wyclef Jeanelle, 1969-","","","","Physique","1969-10-17","????-??-??","Haïti","États-Unis; New Jersey","Acteur, producteur et auteur-compositeur-interprète de hip-hop, reggae et konpa. Né à Haïti; émigre aux États-Unis (New Jersey) en 1982.","","",""
12,,"December, 1963 (Oh, what a night)",1975,"","anglais","","December, Nineteen-sixty-three (Oh, what a night)","","Auteur; Compositeur",11802,"Parker, Judy","Parker, Judy Marie","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteure-compositrice. Conjointe de Gaudio, Bob, 1942-.","","",""
12,,"December, 1963 (Oh, what a night)",1975,"","anglais","","December, Nineteen-sixty-three (Oh, what a night)","","Interprète",15746,"Vitamin C, 1972-","Fitzpatrick, Colleen Ann, 1972-","","","","Physique","1972-07-20","????-??-??","États-Unis; New Jersey","États-Unis; New Jersey","Auteure-compositrice-interprète pop.","","",""
12,,"December, 1963 (Oh, what a night)",1975,"","anglais","","December, Nineteen-sixty-three (Oh, what a night)","","Interprète",18036,"Four Seasons (Groupe musical)","","","4 Seasons; Frankie Valli and the 4 Seasons","","Morale","1960-??-??","????-??-??","États-Unis; New Jersey","États-Unis; New Jersey","Groupe de rock et de pop.","15446","",""
13,,"I see the moon",1953,"","anglais","","","","Auteur; Compositeur",16298,"Willson, Meredith, 1902-1984","Willson, Robert Meredith, 1902-1984","","Wilson, Meredith, 1902-1984","","Physique","1902-05-18","1984-06-15","États-Unis; Iowa","États-Unis; Iowa","Dramaturge, auteur-compositeur et directeur musical.","","",""
13,,"I see the moon",1953,"","anglais","","","","Interprète",18794,"Mariners (Groupe musical)","","","","","Morale","1942-??-??","1955-??-??","États-Unis; New York","États-Unis; New York","Groupe de pop.","","",""
13,,"I see the moon",1953,"","anglais","","","","Interprète",19857,"Stargazers (Groupe musical)","","","","","Morale","1940-??-??","1950-??-??","Royaume-Uni; Angleterre","Royaume-Uni; Angleterre","Groupe vocal. Actif dans les années 1940 et 1950.","","",""
14,,"Someone is looking for someone like you",1978,"","anglais","","","","Auteur; Compositeur; Interprète",3903,"Davies, Gail, 1948-","Dickerson, Patricia Gail, 1948-","","","","Physique","1948-06-05","????-??-??","États-Unis; Oklahoma","États-Unis; Oklahoma","Auteur-compositeur-interprète et producteur de disques de country et de folk.","","",""
14,,"Someone is looking for someone like you",1978,"","anglais","","","","Interprète",8664,"Landsborough, Charlie, 1941-","Landsborough, Charles Alexander, 1941-","","","","Physique","1941-10-26","????-??-??","Royaume-Uni; Pays de Galles","Royaume-Uni; Pays de Galles","Auteur-compositeur-interprète et musicien de folk et de country.","","",""
14,,"Someone is looking for someone like you",1978,"","anglais","","","","Interprète",11036,"Mouskouri, Nana, 1934-","Mouskhouri, Ioanna, 1934-","","","","Physique","1934-10-13","????-??-??","Grèce","Grèce","Chanteuse de jazz, pop, folk, classique, musique du monde et ballade.","","","21966; 22444"
15,,"He'll have to stay",1960,"","anglais","","","","Auteur; Compositeur",241,"Allison, Audrey","","","","","Physique","????-??-??","????-??-??","États-Unis","États-Unis","Auteure-compositrice.","","",""
15,,"He'll have to stay",1960,"","anglais","","","","Auteur; Compositeur",244,"Allison, Joe, 1924-2002","Allison, Joe Marion, 1924-2002","","","","Physique","1924-10-03","2002-08-02","États-Unis; Texas","États-Unis; Texas","Auteur-compositeur et producteur de disques country.","","",""
15,,"He'll have to stay",1960,"","anglais","","","","Interprète",1501,"Black, Jeanne, 1937-","Strange, Jeanne Black, 1937-","","","","Physique","1937-10-25","????-??-??","États-Unis; Californie","États-Unis; Californie","Chanteuse de country.","","",""
15,,"He'll have to stay",1960,"","anglais","","","","Interprète",3950,"Davis, Skeeter, 1931-2004","Penick, Mary Frances, 1931-2004","","","","Physique","1931-12-30","2004-09-19","États-Unis; Kentucky","États-Unis; Kentucky","Auteure-compositrice-interprète de country et de pop.","","","21037; 21748; 22056"
15,,"He'll have to stay",1960,"","anglais","","","","Auteur; Compositeur",6445,"Grean, Charles Randolphe, 1913-2003","","","","","Physique","1913-10-01","2003-12-20","États-Unis","États-Unis","Compositeur et producteur.","","",""
16,,"Don't worry",1961,"","anglais","","","","Auteur; Compositeur; Interprète",13005,"Robbins, Marty, 1925-1982","Robinson, Martin David, 1925-1982","","","","Physique","1925-09-26","1982-12-08","États-Unis; Arizona","États-Unis; Arizona","Acteur, auteur-compositeur-interprète et musicien de country, gospel, pop, rock and roll et rockabilly.","","",""
17,,"Is there any chance",1960,"","anglais","","","","Auteur; Compositeur; Interprète",13005,"Robbins, Marty, 1925-1982","Robinson, Martin David, 1925-1982","","","","Physique","1925-09-26","1982-12-08","États-Unis; Arizona","États-Unis; Arizona","Acteur, auteur-compositeur-interprète et musicien de country, gospel, pop, rock and roll et rockabilly.","","",""
17,,"Is there any chance",1960,"","anglais","","","","Interprète",16453,"Worth, Marion, 1930-1999","Ward, May Ann, 1930-1999","","","","Physique","1930-07-04","1999-12-19","États-Unis; Alabama","États-Unis; Alabama","Auteure-compositrice-interprète de pop et de country.","","",""
18,,"[Titre inconnu #000018]",,"Traditionnel","anglais","","","","",,"","","","","","","????-??-??","????-??-??","","","","","",""
19,,"De la musique",1966,"","français","","","","Auteur; Compositeur",1801,"Bourtayre, Jean-Pierre, 1942-","","","Gylsbi, Douglas, 1942-","","Physique","1942-01-31","????-??-??","France","France","Compositeur.","","",""
19,,"De la musique",1966,"","français","","","","Auteur; Compositeur; Interprète",10735,"Mitchell, Eddy, 1942-","Moine, Claude, 1942-","","","Moine, Claude, 1942-","Physique","1942-07-03","????-??-??","France","France","Acteur, chanteur et parolier. La forme ""Claude Moine"" est utilisée pour l'auteur compositeur; la forme ""Eddy Mitchell"" est généralement utilisée pour le chanteur.","17348; 17403; 17976","","20511; 21080; 21413; 21452; 21785; 21840; 22057"
20,,"Acercate mas",1940,"","espagnol","","","","Auteur; Compositeur",5202,"Farrés, Osvaldo, 1902-1985","","","Farres, Osvaldo, 1902-1985","","Physique","1902-01-13","1985-12-22","Cuba","Cuba; États-Unis","Auteur-compositeur. Né à Cuba; émigre aux États-Unis en 1962.","","",""
20,,"Acercate mas",1940,"","espagnol","","","","Interprète",6614,"Guizar, Tito, 1908-1999","Tolentino, Federico Arturo Guízar, 1908-1999","","","","Physique","1908-04-08","1999-12-24","Mexique","Mexique","Acteur et chanteur.","","",""
20,,"Acercate mas",1940,"","espagnol","","","","Interprète",13151,"Rodriguez, Tito, 1923-1973","Lozada, Pablo Rodriguez, 1923-1973","","El Inolvidable, 1923-1973","","Physique","1923-01-04","1973-02-28","Porto Rico","États-Unis; New York","Compositeur, arrangeur, musicien et directeur musical d'orchestre de musique portoricaine, boléro et mambo. Né à Porto Rico; émigre aux États-Unis (New York) en 1940.","","",""
20,,"Acercate mas",1940,"","espagnol","","","","Interprète",15538,"Vargas, Pedro, 1904-1989","","","","","Physique","1904-04-29","1989-10-30","Mexique","Mexique","Ténor.","","",""
21,,"Promises",1945,"","anglais","","","","Auteur; Compositeur",4590,"Drake, Milton, 1912-2006","","","","","Physique","1912-08-03","2006-11-13","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
21,,"Promises",1945,"","anglais","","","","Auteur; Compositeur",7231,"Hoffman, Al, 1902-1960","","","","","Physique","1902-09-25","1960-07-21","Biélorussie","États-Unis; Washington","Auteur-compositeur. Émigre aux États-Unis à l'âge de 6 ans.","","",""
21,,"Promises",1945,"","anglais","","","","Auteur; Compositeur",9330,"Livingston, Jerry, 1909-1987","Levinson, Jerry, 1909-1987","","Livingstone, Jerry, 1909-1987","","Physique","1909-03-25","1987-07-01","États-Unis; Colorado","États-Unis; Colorado","Auteur-compositeur et pianiste.","","",""
22,,"The night has a thousand eyes",1947,"Film","anglais","","The night has a 1000 eyes","Extrait du film : ""The night has a thousand eyes"".","Auteur; Compositeur",1323,"Bernier, Buddy, 1910-1983","Bernier, Henry, 1910-1983","","","","Physique","1910-04-21","1983-06-18","États-Unis; New York","États-Unis; New York","Parolier.","","",""
22,,"The night has a thousand eyes",1947,"Film","anglais","","The night has a 1000 eyes","Extrait du film : ""The night has a thousand eyes"".","Auteur; Compositeur",1870,"Brainin, Jerry, 1916-2000","Brainin, Jerome, 1916-2000","","Brainin, Jerome, 1916-2000","","Physique","1916-09-03","2000-01-15","États-Unis; New York","États-Unis; New York","Auteur-compositeur de jazz et de musique de film.","","",""
22,,"The night has a thousand eyes",1947,"Film","anglais","","The night has a 1000 eyes","Extrait du film : ""The night has a thousand eyes"".","Interprète",3303,"Coltrane, John, 1926-1967","Coltrane, John William, 1926-1967","","Trane, 1926-1967","","Physique","1926-09-23","1967-07-17","États-Unis; Caroline du Nord","États-Unis; Caroline du Nord","Saxophoniste, compositeur et chef d'orchestre de hard bop, avant-garde jazz, bebop, post bop, modal jazz et free jazz.","18500","","21650"
22,,"The night has a thousand eyes",1947,"Film","anglais","","The night has a 1000 eyes","Extrait du film : ""The night has a thousand eyes"".","Interprète",13989,"Shelton, Anne, 1923-1994","Sibley, Patricia Jacqueline, 1923-1994","","","","Physique","1923-11-10","1994-07-31","Royaume-Uni; Angleterre","Royaume-Uni; Angleterre","Chanteuse de pop.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",1980,"Brisson, Carl, 1893-1958","Pedersen, Carl Frederik Ejnar, 1893-1958","","","","Physique","1893-12-24","1958-09-25","Danemark","Danemark","Acteur.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",2766,"Cavallaro, Carmen, 1913-1989","","","","","Physique","1913-05-06","1989-10-12","États-Unis; New York","États-Unis; New York","Pianiste.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",3314,"Como, Perry, 1912-2001","Como, Pierino Ronald, 1912-2001","","","","Physique","1912-05-18","2001-05-12","États-Unis; Pennsylvanie","États-Unis; Pennsylvanie","Chanteur de pop, big band, jazz, musique latine, swing, country, rock and roll et chansons chrétiennes.","","","20902; 20993; 21168; 22323; 25373"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",3622,"Crosby, Bing, 1903-1977","Crosby, Harry Lillis, 1903-1977","","","","Physique","1903-05-03","1977-10-14","États-Unis; Washington","États-Unis; Washington","Acteur et chanteur de pop et de jazz.","19486","","20797; 20843; 20866; 20876; 20941; 21018; 21120; 21285; 21355; 21484; 21679; 21686; 21688; 21852; 21914; 21975; 22209; 22230; 22238; 22393; 22398; 22410; 22415; 23507; 24347; 25098"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",3755,"Damone, Vic, 1928-","Farinola, Vito Rocco, 1928-","","","","Physique","1928-06-12","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur-interprète de pop et de big band.","","","21450"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",6509,"Griffin, Merv, 1925-2007","Griffin, Mervyn Edward, Jr., 1925-2007","","","","Physique","1925-07-06","2007-08-12","États-Unis; Californie","États-Unis; Californie","Acteur et animateur.","","","21087"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Auteur",9208,"Lewis, Sam M., 1885-1959","Levine, Samuel M., 1885-1959","","Lewis, Samuel, 1885-1959","","Physique","1885-10-25","1959-11-22","États-Unis; New York","États-Unis; New York","Parolier.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",10078,"Martin, Tony, 1913-2012","Morris, Alvin, 1913-2012","","","","Physique","1913-12-25","2012-07-27","États-Unis; Californie","États-Unis; Californie","Acteur et chanteur de big band et de pop.","","","21161; 22176; 25520"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",11418,"Norvo, Red, 1908-1999","Norville, Kenneth, 1908-1999","","","","Physique","1908-03-31","1999-04-06","États-Unis; Illinois","États-Unis; Illinois","Compositeur et musicien de jazz.","19436","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",14300,"Smith, Whispering Jack, 1898-1950","Schmidt, John, 1898-1950","","Smith, Jack, 1898-1950","","Physique","1898-05-31","1950-05-13","États-Unis; New York","États-Unis; New York","Chanteur (baryton).","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",14476,"Stapleton, Cyril, 1914-1974","","","","","Physique","1914-12-31","1974-02-25","Royaume-Uni; Angleterre","Royaume-Uni; Angleterre","Violoniste et directeur musical d'orchestre de jazz.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",16114,"Whiteman, Paul, 1890-1967","Whiteman, Paul Samuel, 1890-1967","","","","Physique","1890-03-28","1967-12-29","États-Unis; Colorado","États-Unis; Colorado","Compositeur et directeur musical d'orchestre de jazz.","19209; 19210","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Auteur",16534,"Young, Joe, 1889-1939","","","","","Physique","1889-07-04","1939-04-21","États-Unis; New York","États-Unis; New York","Parolier.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",19185,"Papa Bue's Viking Jazzband (Groupe musical)","","","","","Morale","1956-??-??","????-??-??","Danemark","Danemark","Groupe de jazz et de dixieland.","","",""
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",20731,"Spike Jones and His City Slickers (Groupe musical)","","","","","Morale","1941-??-??","1960-??-??","États-Unis","États-Unis; Californie","Orchestre.","","","7901; 17407"
23,7531,"I kiss your hand, madame",1929,"","anglais","","","","Interprète",25105,"Fred Rich and his Orchestra et Rollickers Quartet (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","25102; 25103"
24,,"And Mimi",1942,"","anglais","","","","Interprète",8113,"Kaye, Sammy, 1910-1987","Zarnocay, Samuel, Jr., 1910-1987","","","","Physique","1910-03-13","1987-06-02","États-Unis; Ohio","États-Unis; Ohio","Directeur musical d'orchestre de big band, swing et jazz.","24132","","20872; 21687; 21886"
24,,"And Mimi",1942,"","anglais","","","","Auteur; Compositeur",8183,"Kennedy, Jimmy, 1902-1984","","","","","Physique","1902-07-20","1984-04-06","Royaume-Uni; Irlande du Nord","Royaume-Uni; Irlande du Nord","Auteur-compositeur.","","",""
24,,"And Mimi",1942,"","anglais","","","","Interprète",10117,"Mason, Jack","","","","","Physique","????-??-??","????-??-??","","","Chanteur.","","",""
24,,"And Mimi",1942,"","anglais","","","","Auteur; Compositeur",14137,"Simon, Nat, 1900-1979","","","Simon, Norman J., 1900-1979","","Physique","1900-08-06","1979-09-05","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
25,,"Aren't you glad you're you?",1945,"Film","anglais","","Are not you glad you are you?","Extrait du film : ""The bells of St.Mary's"".","Auteur; Compositeur",2234,"Burke, Johnny, 1908-1964","","","","","Physique","1908-10-03","1964-02-25","États-Unis; Californie","États-Unis; Illinois","Parolier. Né en Californie; grandi en Illinois.","","",""
