Id_Chanson,Id_Chanson_Parent,Titre_Chanson,Annee_Creation_Chanson,Categories_Chanson,Langues_Chanson,Lieux_Origines_Chanson,Autre_Titre_Chanson,Note_Chanson,Relation_Chanson_Autorite,Id_Autorite,Forme_Retenue_Autorite,Forme_Nom_Veritable,Formes_Anciennes,Formes_Non_Retenues,Formes_Autres_Retenues,Type_Autorite,Date_Naissance_Autorite,Date_Deces_Autorite,Lieux_Naissances_Autorite,Lieux_Activites_Autorite,Note_Autorite,Id_Autorites_Membres_Groupes,Id_Autorites_Evolutions,Id_Autorites_Partenariats
361,,"It had to be you",1924,"","anglais","","","","Interprète",527,"Arnold, Eddy, 1918-2008","Arnold, Richard Edward, 1918-2008","","Eddy Arnold and His Guitar, 1918-2008; Eddy Arnold and his Tennessee Plowboys, 1918-2008; Eddy Arnold, The Tennesee Plowboy and his Guitar, 1918-2008; Eddy Arnold, The Tennessee Plowboy, 1918-2008","","Physique","1918-05-15","2008-05-08","États-Unis; Tennessee","États-Unis; Tennessee","Chanteur de country, gospel et de pop.","","",""
361,,"It had to be you",1924,"","anglais","","","","Interprète",1229,"Bennett, Tony, 1926-","Benedetto, Anthony Dominick, 1926-","","","","Physique","1926-08-03","????-??-??","États-Unis; New York","États-Unis; New York","Chanteur de pop et de jazz.","","","20909; 20979; 21124; 21171; 21529; 21545; 21575; 21589; 21796; 22159; 22237; 22436; 24638"
361,,"It had to be you",1924,"","anglais","","","","Interprète",2906,"Charles, Ray, 1930-2004","Robinson, Ray Charles, 1930-2004","","","","Physique","1930-09-23","2004-06-10","États-Unis; Géorgie","États-Unis; Géorgie","Chanteur et pianiste de rhythm and blues, soul, blues, rock and roll, jazz, country, pop et gospel. Contrairement à son anonyme, celui-ci souffre de cécité.","19420; 20194","","20685; 21245; 21482; 21990; 22170; 22408"
361,,"It had to be you",1924,"","anglais","","","","Interprète",3335,"Connick, Harry, Jr., 1967-","Connick, Joseph Harry Fowler, Jr., 1967-","","","","Physique","1967-09-11","????-??-??","États-Unis; Louisiane","États-Unis; Louisiane","Acteur, compositeur, chanteur, arrangeur et pianiste de swing, pop, big band et jazz funk.","","","21035"
361,,"It had to be you",1924,"","anglais","","","","Interprète",3833,"Darin, Bobby, 1936-1973","Cassotto, Walden Robert, 1936-1973","","","","Physique","1936-05-14","1973-12-20","États-Unis; New York","États-Unis; New York","Acteur, auteur-compositeur-interprète et musicien de jazz, blues, rock et swing.","","",""
361,,"It had to be you",1924,"","anglais","","","","Interprète",5957,"Gayle, Crystal, 1951-","Webb, Brenda Gail, 1951-","","Gale, Crystal, 1951-","","Physique","1951-01-09","????-??-??","États-Unis; Kentucky","États-Unis; Kentucky","Actrice et auteure-compositrice-interprète de country pop.","","",""
361,,"It had to be you",1924,"","anglais","","","","Interprète",6846,"Harris, Marion, 1896-1944","Harrison, Mary Ellen, 1896-1944","","","","Physique","1896-04-04","1944-04-23","États-Unis; Indiana","États-Unis; Indiana","Chanteuse de jazz, blues et de pop.","","",""
361,,"It had to be you",1924,"","anglais","","","","Auteur; Compositeur; Interprète",7880,"Jones, Isham, 1894-1956","","","","","Physique","1894-01-31","1956-10-19","États-Unis; Ohio","États-Unis; Ohio","Auteur-compositeur, musicien et directeur musical.","24346","","24425"
361,,"It had to be you",1924,"","anglais","","","","Auteur; Compositeur",8021,"Kahn, Gus, 1886-1941","","","","","Physique","1886-11-06","1941-10-08","Allemagne","États-Unis; Illinois","Auteur-compositeur. Né en Allemagne; émigre aux États-Unis en 1890.","","",""
361,,"It had to be you",1924,"","anglais","","","","Interprète",8192,"Kenny G., 1956-","Gorelick, Kenneth Bruce, 1956-","","","","Physique","1956-06-05","????-??-??","États-Unis; Washington","États-Unis; Washington","Saxophoniste.","","","21605"
361,,"It had to be you",1924,"","anglais","","","","Interprète",10699,"Minnelli, Liza, 1946-","Minnelli, Liza May, 1946-","","","","Physique","1946-03-12","????-??-??","États-Unis; Californie","États-Unis; Californie","Actrice et chanteuse.","","","21163"
361,,"It had to be you",1924,"","anglais","","","","Interprète",14045,"Shore, Dinah, 1916-1994","Shore, Frances Rose, 1916-1994","","","","Physique","1916-02-29","1994-02-24","États-Unis; Tennessee","États-Unis; Tennessee","Actrice et chanteuse de pop.","","","20801; 20914; 21013; 21140"
361,,"It had to be you",1924,"","anglais","","","","Interprète",14149,"Sinatra, Frank, 1915-1998","Sinatra, Francis Albert, 1915-1998","","Sinatra, Franck, 1915-1998","","Physique","1915-12-12","1998-05-14","États-Unis; New Jersey","États-Unis; New Jersey","Acteur et chanteur.","","","20788; 21018; 21062; 21171; 21186; 21286; 21370; 21596; 21616; 21621; 21641; 21669; 21681; 21828; 21865; 21959; 21971; 21994; 21999; 22141; 22169; 22311; 22449; 22497; 24436"
361,,"It had to be you",1924,"","anglais","","","","Interprète",14583,"Stewart, Rod, 1945-","Stewart, Roderick David, 1945-","","Rod the Mod, 1945-","","Physique","1945-01-10","????-??-??","Royaume-Uni; Angleterre","Royaume-Uni; Angleterre","Auteur-compositeur-interprète de rock, pop, blues rock et soul.","","","20999; 21083; 21170; 21462; 21555; 22079; 22142; 22371; 22382; 22541"
361,,"It had to be you",1924,"","anglais","","","","Interprète",14676,"Streisand, Barbra, 1942-","Streisand, Barbara Joan, 1942-","","","","Physique","1942-04-24","????-??-??","États-Unis; New York","États-Unis; New York","Actrice, réalisatrice, auteure-compositrice-interprète de Broadway, jazz et de pop.","","","21015; 21456; 21692; 21900; 21993; 22134; 22237; 22467"
361,,"It had to be you",1924,"","anglais","","","","Interprète",16032,"Wells, Mary, 1943-1992","Wells, Mary Esther, 1943-1992","","Womack, Mary Wells, 1943-1992","","Physique","1943-05-13","1992-07-26","États-Unis; Michigan","États-Unis; Michigan","Auteure-compositrice-interprète de rhythm and blues, pop, soul, Motown et disco.","","","22121"
361,,"It had to be you",1924,"","anglais","","","","Interprète",16210,"Williams, Andy, 1928-","Williams, Howard Andrew, 1928-","","","","Physique","1928-12-03","????-??-??","États-Unis; Iowa","États-Unis; Iowa","Chanteur de pop.","","","21217"
361,,"It had to be you",1924,"","anglais","","","","Interprète",21013,"Shore, Dinah et Previn, André (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","12376; 14045"
361,,"It had to be you",1924,"","anglais","","","","Interprète",21253,"Hazlewood, Lee et Casey, Al (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","2688; 6962"
361,,"It had to be you",1924,"","anglais","","","","Interprète",21931,"Schuur, Diane et King, B.B. (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","8271; 13739"
361,,"It had to be you",1924,"","anglais","","","","Interprète",22170,"Schuur, Diane et Charles, Ray (Collaboration)","","","","","Morale","????-??-??","????-??-??","","","","","","2906; 13739"
362,,"Serenade in blue",1942,"Film","anglais","","","Extrait du film : ""Orchestra wives"".","Interprète",3339,"Connor, Chris, 1927-2009","Loutsenhizer, Mary, 1927-2009","","","","Physique","1927-11-08","2009-08-29","États-Unis; Missouri","États-Unis; Missouri","Chanteuse de jazz.","","",""
362,,"Serenade in blue",1942,"Film","anglais","","","Extrait du film : ""Orchestra wives"".","Interprète",3972,"Day, Doris, 1922-","Kappelhoff, Doris Mary Ann, 1922-","","","","Physique","1922-04-03","????-??-??","États-Unis; Ohio","États-Unis; Ohio","Actrice et chanteuse.","","","21178; 21303; 21385; 21558; 21749; 22347; 24540"
362,,"Serenade in blue",1942,"Film","anglais","","","Extrait du film : ""Orchestra wives"".","Interprète",5678,"Friday, Pat, 1921-","Freiday, Helen Patricia, 1921-","","","","Physique","1921-??-??","????-??-??","États-Unis; Idaho","États-Unis; Idaho","Chanteuse.","","",""
362,,"Serenade in blue",1942,"Film","anglais","","","Extrait du film : ""Orchestra wives"".","Auteur; Compositeur",6303,"Gordon, Mack, 1904-1959","Gittler, Morris, 1904-1959","","","","Physique","1904-06-21","1959-03-01","Pologne","États-Unis; New York","Auteur-compositeur. Né en Pologne; émigre aux États-Unis alors qu'il est enfant.","","",""
362,,"Serenade in blue",1942,"Film","anglais","","","Extrait du film : ""Orchestra wives"".","Interprète",6947,"Haymes, Dick, 1918-1980","Haymes, Richard Benjamin, 1918-1980","","","","Physique","1918-09-13","1980-03-28","Argentine","États-Unis; Californie","Acteur et chanteur. Né en Argentine; grandi en France, en Suisse et en Angleterre. Réside et travaille aux États-Unis à partir de 1936.","","","22178; 22389"
